column,description,choices
Population,"The ancestral group or ethnicity of the participants. Keywords: Ancestry, Race, Ethnic. Examples: European (EUR), African American (AA), East Asian (EAS), Caribbean Hispanic.","European;African;Hispanic/Latino;East Asian;South Asian;Southeast Asian;Middle Eastern;Oceanian;Multi-ethnic;Other"
Cohort,"The specific study or database name. Keywords: Study, Dataset, Discovery. Examples: ADNI, IGAP, UK Biobank, ADGC, CHARGE, EADI.",
Stage,"Study phase indicating whether results come from discovery, replication, meta-analysis, or combined analysis. Keywords: Stage, Phase, Discovery, Replication, Meta, Combined. Examples: Discovery, Replication, Stage 1, Stage 2, Meta-analysis, Joint analysis.","Discovery;Replication;Validation;Joint-analysis;Meta-analysis;Stage 1;Stage 2;Stage 3"
